,tweet_id,Party
0,913759755189080064,VB
1,913762667801858048,NVA
2,913765469739454464,CD&V
3,913767311294828553,CD&V
4,913767928696320000,sp.a
5,913768088818118657,CD&V
6,913768788256083969,CD&V
7,913769471382343682,Open Vld
8,913773533234417664,CD&V
9,913776470765469697,NVA
10,913776534296694784,NVA
11,913776633219338240,NVA
12,913776894822232066,NVA
13,913777373279027200,NVA
14,913779802548645888,CD&V
15,913779979250487298,CD&V
16,913780345404665856,NVA
17,913781113474179073,CD&V
18,913781160324554753,sp.a
19,913781701029097472,NVA
20,913784854667497472,CD&V
21,913792433443491840,Groen
22,913793057069436929,Groen
23,913800926233812992,NVA
24,913805237013680130,VB
25,913809655687729153,NVA
26,913809982059089920,NVA
27,913812034772520961,NVA
28,913812076682006528,CD&V
29,913820553563209728,CD&V
30,913821222722588673,NVA
31,913824973990584321,sp.a
32,913826077381939200,NVA
33,913826513342144512,sp.a
34,913831245859213314,NVA
35,913834732156280832,Groen
36,913835123568672769,NVA
37,913838851696848901,NVA
38,913839087450238976,NVA
39,913840091533053952,CD&V
40,913842702902595584,NVA
41,913846394766725122,NVA
42,913847294809837570,Open Vld
43,913853224414842880,Groen
44,913854324295520256,Groen
45,913859600310571008,NVA
46,913860929317728257,CD&V
47,913878563216134144,NVA
48,914000297948786688,CD&V
49,914002399152492549,CD&V
50,914003563390668801,NVA
51,914004518102294528,NVA
52,914004934110191616,CD&V
53,914005924880281601,NVA
54,914016830787899392,NVA
55,914020461750685696,VB
56,914023227621625857,NVA
57,914023973150699520,Groen
58,914025558199164928,CD&V
59,914027795667460096,NVA
60,914028830326689792,CD&V
61,914033512050720768,CD&V
62,914036380677918720,CD&V
63,914039915134033920,NVA
64,914041720584773632,NVA
65,914044975175929856,NVA
66,914046530788773889,VB
67,914047564990894081,VB
68,914050274863587328,NVA
69,914050831816773632,NVA
70,914050862506442752,CD&V
71,914052594770771969,CD&V
72,914057179442884608,CD&V
73,914064503414956032,CD&V
74,914071275387092993,NVA
75,914071736425046016,NVA
76,914072034975604736,VB
77,914072693481394177,CD&V
78,914073787452227584,VB
79,914074404082126849,Groen
80,914075305433862144,NVA
81,914077365831168000,sp.a
82,914077470781067264,VB
83,914080803696627712,NVA
84,914091326660124672,NVA
85,914103140101836801,NVA
86,914104056985079808,VB
87,914130811305197568,CD&V
88,914131647649509376,CD&V
89,914134327683944449,NVA
90,914137388892422144,NVA
91,914137427203252227,Open Vld
92,914137759945814017,sp.a
93,914138100435210240,Open Vld
94,914138546511982593,CD&V
95,914138941783183360,Open Vld
96,914139084288921600,NVA
97,914145129665060864,Open Vld
98,914147031849095169,sp.a
99,914162736921276416,sp.a
100,914164736647888896,sp.a
101,914165093511856128,sp.a
102,914168259880083457,NVA
103,914175021609664518,NVA
104,914184051296280576,NVA
105,914187332013748224,Open Vld
106,914217022417973248,NVA
107,914223423445962757,NVA
108,914225307053383680,NVA
109,914227524548399109,NVA
110,914233815954083840,Open Vld
111,914382127248105474,CD&V
112,914385894752358403,CD&V
113,914387236350722048,NVA
114,914388464593928192,VB
115,914392149281697792,CD&V
116,914393320742367232,NVA
117,914393980376424448,NVA
118,914395315066810369,NVA
119,914395337200164864,CD&V
120,914397787588055040,NVA
121,914401270554906624,NVA
122,914401327601635328,NVA
123,914401977416798208,VB
124,914402817699450880,NVA
125,914402994531241985,Groen
126,914403990464548864,NVA
127,914404177991872513,NVA
128,914404862774956032,NVA
129,914406314683650048,NVA
130,914407018420727808,NVA
131,914408211641520128,NVA
132,914409086392913921,NVA
133,914412290782502912,CD&V
134,914413712794165248,NVA
135,914414220762107905,NVA
136,914414231830892544,NVA
137,914415430109945856,NVA
138,914416733116608512,Groen
139,914422058536271872,NVA
140,914422517552570369,NVA
141,914422720271732737,NVA
142,914423795389276161,CD&V
143,914425103638827008,CD&V
144,914425135574261761,CD&V
145,914426944439115776,NVA
146,914429233103015937,NVA
147,914430369168023552,Groen
148,914430581672472577,NVA
149,914430888934592512,Groen
150,914431530252070912,NVA
151,914431724372856832,NVA
152,914433262805819392,NVA
153,914433547900981248,Groen
154,914434183136673792,sp.a
155,914434665523634180,Groen
156,914435002116472832,NVA
157,914435126636969984,NVA
158,914435266655477761,NVA
159,914438534592974848,Groen
160,914438979579252738,Groen
161,914440139228794880,Groen
162,914440671385276416,NVA
163,914441359511171074,NVA
164,914441824814723073,NVA
165,914445363150557184,sp.a
166,914446015788351490,NVA
167,914447231532650496,NVA
168,914447696504737792,NVA
169,914453757114667009,NVA
170,914454431210594304,NVA
171,914455320755392512,NVA
172,914455538284601344,NVA
173,914456111423598593,NVA
